Linux 6.17.0-19-generic (prateek) 	29/03/26 	_x86_64_	(8 CPU)

05:18:26 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:46 PM IST    3   88.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
05:18:46 PM IST    4    5.94    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   93.07
05:18:46 PM IST    5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:46 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:46 PM IST    7   12.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.88

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   38.28    0.01    0.79    0.02    0.00    0.27    0.00    0.00    0.00   60.62
Average:       0    2.63    0.00    4.07    0.00    0.00    2.04    0.00    0.00    0.00   91.26
Average:       1   41.55    0.00    0.35    0.05    0.00    0.05    0.00    0.00    0.00   58.00
Average:       2    1.15    0.05    0.70    0.05    0.00    0.10    0.00    0.00    0.00   97.95
Average:       3   55.76    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   44.04
Average:       4   16.32    0.05    0.45    0.05    0.00    0.00    0.00    0.00    0.00   83.12
Average:       5   44.09    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   55.56
Average:       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       7   44.94    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   54.90
